Year,Africa,Asia,Europe,Former Soviet Union,Kosovo,Latin America/Caribbean,Near East/South Asia,Total
1975,0,135000,1947,6211,0,3000,0,146158
1976,0,15000,1756,7450,0,3000,0,27206
1977,0,7000,1755,8191,0,3000,0,19946
1978,0,20574,2245,10688,0,3000,0,36507
1979,0,76521,3393,24449,0,7000,0,111363
1980,955,163799,5025,28444,0,6662,2231,207116
1981,2119,131139,6704,13444,0,2017,3829,159252
1982,3412,73755,11109,2760,0,580,6480,98096
1983,2645,39245,11867,1342,0,691,5428,61218
1984,2749,51978,10096,721,0,150,4699,70393
1985,1951,49962,9233,623,0,151,5784,67704
1986,1322,45482,8503,799,0,131,5909,62146
1987,1990,40099,8396,3699,0,323,10021,64528
1988,1593,35371,7510,20411,0,2497,8368,75750
1989,1902,45722,8752,39602,0,2604,6938,105520
1990,3453,51598,6094,50628,0,2305,4979,119057
1991,4420,53522,6837,39226,0,2253,5342,111600
1992,5470,51899,2915,61397,0,3065,6903,131649
1993,6967,49817,2582,48773,0,4071,6987,119197
1994,5860,43564,7707,43854,0,6156,5840,112981
1995,4827,36987,10070,35951,0,7629,4510,99974
1996,7604,19321,12145,29816,0,3550,3967,76403
1997,6065,8594,21401,27331,0,2996,4101,70488
1998,6887,10854,30842,23557,0,1627,3313,77080
1999,13043,10206,24497,17410,14161,2110,4098,85525
2000,17561,4561,22561,15103,0,3232,10129,73147
2001,19020,4163,15794,15978,0,2975,11956,69886
2002,2551,3512,5459,9969,0,1934,3706,27131
2003,10714,1724,2506,8744,0,455,4260,28403
2004,29104,8084,9254,0,0,3577,2854,52873
2005,20745,12076,11316,0,0,6699,2977,53813
2006,18126,5659,10456,0,0,3264,3718,41223
2007,17483,15643,4560,0,0,2976,7620,48282
2008,8935,19489,2343,0,0,4277,25147,60191
2009,9670,19850,1997,0,0,4857,38280,74654
2010,13305,17716,1526,0,0,4982,35782,73311
2011,7685,17367,1228,0,0,2976,27168,56424
2012,10608,14366,1129,0,0,2078,30057,58238
2013,15980,16537,580,0,0,4439,32390,69926
2014,17476,14784,959,0,0,4318,32450,69987
2015,22472,18469,2363,0,0,2050,24579,69933
2016,31625,12518,3957,0,0,1340,35555,84995
