Year,Total
1975,146158
1976,27206
1977,19946
1978,36507
1979,111363
1980,207116
1981,159252
1982,98096
1983,61218
1984,70393
1985,67704
1986,62146
1987,64528
1988,75750
1989,105520
1990,119057
1991,111600
1992,131649
1993,119197
1994,112981
1995,99974
1996,76403
1997,70488
1998,77080
1999,85525
2000,73147
2001,69886
2002,27131
2003,28403
2004,52873
2005,53813
2006,41223
2007,48282
2008,60191
2009,74654
2010,73311
2011,56424
2012,58238
2013,69926
2014,69987
2015,69933
2016,84995
